timestamp,ped_id,x,y
16250,380,1.82,3.63
16260,380,1.9,3.12
16270,380,2.01,2.57
16280,380,2.09,2.01
16290,380,2.17,1.46
16300,380,2.24,0.9
16310,380,2.27,0.34
16320,380,2.31,-0.24
16330,380,2.3,-0.81
16340,380,2.27,-1.36
16350,380,2.22,-1.94
16360,380,2.17,-2.53
16370,380,2.15,-3.09
16380,380,2.16,-3.68
16390,380,2.16,-4.28
16400,380,2.21,-4.88
16410,380,2.22,-5.48
16420,380,2.2,-6.05
16430,380,2.18,-6.65
16440,380,2.18,-7.23
16450,380,2.12,-7.86
16460,380,2.14,-8.41
16470,380,2.05,-9.18
16480,380,1.98,-9.78
