Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_3,VL_C,F,TD,3,full,1,CTRV,1.0,1,4.755857349948127,1.88731345797502,4.755857349948127,1.88731345797502
VL_C_F_TD_3,VL_C,F,TD,3,2.5hz,1,CTRV,1.0,1,28.60558921955926,1.1559518443321382,28.60558921955926,1.1559518443321382
VL_C_F_TD_3,VL_C,F,TD,3,10hz,1,CTRV,1.0,1,10.435658331013048,2.123037169945912,10.435658331013048,2.123037169945912
VL_C_F_BU_5,VL_C,F,BU,5,full,1,CTRV,1.0,1,4.512109727224883,0.944339167722158,4.512109727224883,0.944339167722158
VL_C_F_BU_5,VL_C,F,BU,5,2.5hz,1,CTRV,1.0,1,,,,
VL_C_F_BU_5,VL_C,F,BU,5,10hz,1,CTRV,1.0,1,13.459333889851033,1.370943405078948,13.459333889851033,1.370943405078948
VL_C_F_BU_6,VL_C,F,BU,6,full,1,CTRV,1.0,1,5.270247750295846,1.7047266928862586,5.270247750295846,1.7047266928862586
VL_C_F_BU_6,VL_C,F,BU,6,2.5hz,1,CTRV,1.0,1,22.27138050717328,0.6065061509051232,22.27138050717328,0.6065061509051232
VL_C_F_BU_6,VL_C,F,BU,6,10hz,1,CTRV,1.0,1,12.618488825036552,1.3944640931676509,12.618488825036552,1.3944640931676509
VL_C_F_TD_5,VL_C,F,TD,5,full,1,CTRV,1.0,1,4.298933367184046,2.500898992829624,4.298933367184046,2.500898992829624
VL_C_F_TD_5,VL_C,F,TD,5,2.5hz,1,CTRV,1.0,1,,,,
VL_C_F_TD_5,VL_C,F,TD,5,10hz,1,CTRV,1.0,1,16.047453816355855,1.959662461891987,16.047453816355855,1.959662461891987
VL_C_A_TD_1,VL_C,A,TD,1,full,1,CTRV,1.0,1,6.194854625273299,1.3022883709164326,6.194854625273299,1.3022883709164326
VL_C_A_TD_1,VL_C,A,TD,1,2.5hz,1,CTRV,1.0,1,38.65557429618478,1.165390559679837,38.65557429618478,1.165390559679837
VL_C_A_TD_1,VL_C,A,TD,1,10hz,1,CTRV,1.0,1,16.18163000878338,2.6513270590496694,16.18163000878338,2.6513270590496694
VL_C_A_BU_3,VL_C,A,BU,3,full,1,CTRV,1.0,1,7.743874699669666,1.909752252755734,7.743874699669666,1.909752252755734
VL_C_A_BU_3,VL_C,A,BU,3,2.5hz,1,CTRV,1.0,1,,,,
VL_C_A_BU_3,VL_C,A,BU,3,10hz,1,CTRV,1.0,1,14.776813482208375,0.8176360010823835,14.776813482208375,0.8176360010823835
VL_C_A_BU_1,VL_C,A,BU,1,full,1,CTRV,1.0,1,4.52297120474804,1.0226796933983968,4.52297120474804,1.0226796933983968
VL_C_A_BU_1,VL_C,A,BU,1,2.5hz,1,CTRV,1.0,1,36.93247669577456,0.9429073247654464,36.93247669577456,0.9429073247654464
VL_C_A_BU_1,VL_C,A,BU,1,10hz,1,CTRV,1.0,1,12.745297234616276,1.353666448859783,12.745297234616276,1.353666448859783
VL_C_F_TD_2,VL_C,F,TD,2,full,1,CTRV,1.0,1,4.127347504281972,1.3343378487226163,4.127347504281972,1.3343378487226163
VL_C_F_TD_2,VL_C,F,TD,2,2.5hz,1,CTRV,1.0,1,35.39044542969608,0.7974297989557587,35.39044542969608,0.7974297989557587
