Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Avg. Lin. Vel.,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_3,VL_C,F,TD,3,full,4,CTRV,False,11.54397531767025,4.091795802574054,19.040569227036848,1.0185270897763261
VL_C_F_TD_3,VL_C,F,TD,3,10hz,4,CTRV,False,28.88979783537425,6.036029205170198,48.66372459998159,1.2635433157030314
VL_C_F_BU_5,VL_C,F,BU,5,full,4,CTRV,False,12.711314336717844,2.8712748556226284,22.31504418012771,0.9817075013221457
VL_C_F_BU_5,VL_C,F,BU,5,10hz,4,CTRV,False,35.49353324695273,5.2356001370061165,54.0186642694161,1.0623601594315868
VL_C_F_BU_6,VL_C,F,BU,6,full,4,CTRV,False,13.007300603067167,3.717287675100148,21.53678189654048,0.9277801048631406
VL_C_F_BU_6,VL_C,F,BU,6,10hz,4,CTRV,False,23.01463928269656,3.7877948185436146,36.41445616731996,0.7241762838250508
VL_C_F_TD_5,VL_C,F,TD,5,full,4,CTRV,False,13.042961954208717,13.868956078102121,22.533803121668313,1.49454915380232
VL_C_F_TD_5,VL_C,F,TD,5,10hz,4,CTRV,False,48.98975109271768,12.6402056169755,69.7337479076959,1.7020711609468804
VL_C_A_TD_1,VL_C,A,TD,1,full,4,CTRV,False,16.400308949631988,5.288862622726816,27.566605173282873,1.205594418996608
VL_C_A_TD_1,VL_C,A,TD,1,10hz,4,CTRV,False,45.4773169417018,12.169692762468406,70.78881007686294,1.251020861056878
VL_C_A_BU_3,VL_C,A,BU,3,full,4,CTRV,False,20.35883949719822,4.81342262312135,34.073705954897825,1.0267221042016608
VL_C_A_BU_3,VL_C,A,BU,3,10hz,4,CTRV,False,34.259176764628336,2.0414772649855917,58.589396048394384,0.7274759076291533
VL_C_A_BU_1,VL_C,A,BU,1,full,4,CTRV,False,14.217964435946758,3.0736932765898515,25.03117857298429,1.1097413368973688
VL_C_A_BU_1,VL_C,A,BU,1,10hz,4,CTRV,False,45.897325729934366,5.696133874751162,71.45210495455768,1.1841102057451878
VL_C_F_TD_2,VL_C,F,TD,2,full,4,CTRV,False,10.847470699121269,3.405793002654782,17.837751425123813,0.955598178048718
VL_C_F_TD_2,VL_C,F,TD,2,10hz,4,CTRV,False,29.937752161806213,4.042090533990765,51.607763758199845,1.0844792333299857
VL_C_A_TD_3,VL_C,A,TD,3,full,4,CTRV,False,12.687549197216054,3.18129816478555,21.282678877686863,0.9762603504534301
VL_C_A_TD_3,VL_C,A,TD,3,10hz,4,CTRV,False,32.06430342205705,3.848817816178852,51.7398620273866,0.9510442226979389
VL_C_F_TD_6,VL_C,F,TD,6,full,4,CTRV,False,9.71404646720498,6.047908273102443,16.39861381042289,0.9837383742996407
VL_C_F_TD_6,VL_C,F,TD,6,10hz,4,CTRV,False,33.14228691211055,7.502049857950477,53.60643249251714,1.5411919752816436
VL_C_F_BU_1,VL_C,F,BU,1,full,4,CTRV,False,12.972754152292866,4.867231671360542,22.422823812787254,1.225748653617249
VL_C_F_BU_1,VL_C,F,BU,1,10hz,4,CTRV,False,33.53754995165713,5.250405998115584,54.375692017847804,1.1660243062035236
VL_C_F_TD_1,VL_C,F,TD,1,full,4,CTRV,False,14.883742299130798,4.150278501898075,23.039510070899354,1.192597676448799
VL_C_F_TD_1,VL_C,F,TD,1,10hz,4,CTRV,False,33.66668705806436,4.374745829602038,53.51017479889967,1.096533212118437
VL_C_F_TD_4,VL_C,F,TD,4,full,4,CTRV,False,9.69721880274406,4.0294663172743075,17.376635984908173,1.172064181661645
VL_C_F_TD_4,VL_C,F,TD,4,10hz,4,CTRV,False,39.00193798541753,8.500915585889201,63.162288234316314,1.5794974829523791
VL_C_A_TD_2,VL_C,A,TD,2,full,4,CTRV,False,18.336990094843244,4.5068166650362675,28.714844062787215,0.9664269945005891
VL_C_A_TD_2,VL_C,A,TD,2,10hz,4,CTRV,False,36.411707332033494,4.673316109251299,58.34730479388718,0.9090742529906896
VL_C_A_BU_2,VL_C,A,BU,2,full,4,CTRV,False,17.378783400215372,2.3269164578071635,29.87897900255626,0.8487800695484299
VL_C_A_BU_2,VL_C,A,BU,2,10hz,4,CTRV,False,28.90506012217073,1.9113648994015107,40.50271693722143,0.4783231254048429
VL_C_F_BU_4,VL_C,F,BU,4,full,4,CTRV,False,16.047356707110485,3.6264653701730856,27.23730733751582,1.0691927278977262
VL_C_F_BU_4,VL_C,F,BU,4,10hz,4,CTRV,False,37.57017367890086,2.4717914719634235,57.33731249559406,0.783714943726737
VL_C_F_BU_3,VL_C,F,BU,3,full,4,CTRV,False,11.601613239511375,4.497560374623582,20.09795884577331,1.0331275607545907
VL_C_F_BU_3,VL_C,F,BU,3,10hz,4,CTRV,False,31.422786841448165,4.396742227429894,52.194791739072286,1.1339177883339924
VL_C_F_BU_2,VL_C,F,BU,2,full,4,CTRV,False,12.531733698434802,3.7101618146476123,21.314131313206286,0.9768066654254849
VL_C_F_BU_2,VL_C,F,BU,2,10hz,4,CTRV,False,31.854258444611123,4.7995973284433795,52.486044589389955,1.2216007418956716
HL_C_F_RL_4,HL_C,F,RL,4,full,4,CTRV,False,16.382584275616768,3.5678169569368485,23.605568479364702,0.9444200943222766
HL_C_F_RL_4,HL_C,F,RL,4,10hz,4,CTRV,False,27.367477492911465,3.394655945201735,43.21717361149894,0.9393604619883813
HL_C_A_RL_2,HL_C,A,RL,2,full,4,CTRV,False,16.995069455872486,2.4501543146612494,27.667450648824083,0.8635573798060178
HL_C_A_RL_2,HL_C,A,RL,2,10hz,4,CTRV,False,32.93473640068904,1.6849602037393765,57.48652100454631,0.7183249255780605
HL_C_F_RL_3,HL_C,F,RL,3,full,4,CTRV,False,17.07376030719244,3.0781813153141404,27.5015032368396,0.9944800108644913
HL_C_F_RL_3,HL_C,F,RL,3,10hz,4,CTRV,False,25.080024550895818,2.7211907886979647,40.429851570456194,0.6659851991323497
HL_C_F_RL_1,HL_C,F,RL,1,full,4,CTRV,False,14.117223195365137,4.067025550764626,22.775507630851354,1.075960615157555
HL_C_F_RL_1,HL_C,F,RL,1,10hz,4,CTRV,False,30.418660062542568,3.2175113328294485,50.32612377147065,0.9852197391421148
HL_C_A_LR_1,HL_C,A,LR,1,full,4,CTRV,False,16.83346839409164,3.1642452821184124,27.75456879914397,0.9870725409269204
HL_C_A_LR_1,HL_C,A,LR,1,10hz,4,CTRV,False,38.20630250274961,2.9727550940917102,62.06372167580544,1.0305747665864537
HL_C_A_RL_3,HL_C,A,RL,3,full,4,CTRV,False,15.372476885667028,2.829427481474151,24.06453433684102,0.8581049010727501
HL_C_A_RL_3,HL_C,A,RL,3,10hz,4,CTRV,False,34.238096245647235,2.072263071436235,59.8666151362385,0.8414797845261528
HL_C_F_LR_1,HL_C,F,LR,1,full,4,CTRV,False,12.91995275569488,3.1248251958691036,21.296401150378475,1.093057159682578
HL_C_F_LR_1,HL_C,F,LR,1,10hz,4,CTRV,False,29.273072828444008,3.7324283980274067,46.688463170402535,0.9896734670352648
HL_C_F_LR_3,HL_C,F,LR,3,full,4,CTRV,False,15.561175880255892,3.465154941479983,25.77171074664315,1.0498935173811403
HL_C_F_LR_3,HL_C,F,LR,3,10hz,4,CTRV,False,29.72497562074077,2.130742525273875,50.059740698265344,0.8058599717688772
HL_C_F_LR_4,HL_C,F,LR,4,full,4,CTRV,False,12.983447296950153,3.3253812263591422,19.820126697160102,1.0036233344899805
HL_C_F_LR_4,HL_C,F,LR,4,10hz,4,CTRV,False,27.934006255457575,3.36420554541145,45.91400274129583,0.9955832364007554
HL_C_A_LR_3,HL_C,A,LR,3,full,4,CTRV,False,15.38277563373795,3.7319383109374495,24.96221084616142,1.027731609750449
HL_C_A_LR_3,HL_C,A,LR,3,10hz,4,CTRV,False,26.160788216244015,2.5301419714216546,44.13910743758132,0.8604433928981349
HL_C_A_LR_2,HL_C,A,LR,2,full,4,CTRV,False,17.079047485940787,2.736891897711654,26.65916994682745,0.9429515612870111
HL_C_A_LR_2,HL_C,A,LR,2,10hz,4,CTRV,False,34.142853627134805,2.5468106570256674,59.17720187913885,0.9576007504883706
HL_C_F_RL_6,HL_C,F,RL,6,full,4,CTRV,False,15.629464724718225,4.334724427311402,21.437605697485573,0.8967759812933321
HL_C_F_RL_6,HL_C,F,RL,6,10hz,4,CTRV,False,28.927435457229176,3.1822374847258397,46.10007630695644,0.9217365336605252
HL_C_A_RL_1,HL_C,A,RL,1,full,4,CTRV,False,16.194108282423784,2.838854086246062,26.161314839808526,0.8761758997662804
HL_C_A_RL_1,HL_C,A,RL,1,10hz,4,CTRV,False,28.5881595218898,3.1569728075598844,49.17182505947719,0.7482261270140615
HL_C_F_RL_5,HL_C,F,RL,5,full,4,CTRV,False,20.098582614363266,3.9130032269430957,28.85603044408746,0.9774645888594241
HL_C_F_RL_5,HL_C,F,RL,5,10hz,4,CTRV,False,38.481659078092484,3.4376521288724,55.50835416544398,0.8383222952039164
HL_C_F_LR_2,HL_C,F,LR,2,full,4,CTRV,False,12.81994941618611,3.5537071813845102,20.88528377523638,1.0220949701633364
HL_C_F_LR_2,HL_C,F,LR,2,10hz,4,CTRV,False,26.13899349491086,2.783992968564829,43.1090466546252,0.8972787774974877
HL_C_F_LR_6,HL_C,F,LR,6,full,4,CTRV,False,10.496172971254763,3.4294870846768695,16.625779116692502,0.9759015317062841
HL_C_F_LR_6,HL_C,F,LR,6,10hz,4,CTRV,False,24.131963474243058,3.4313504226003486,37.344884764204906,0.9399483831998977
HL_C_F_RL_2,HL_C,F,RL,2,full,4,CTRV,False,13.687617715588944,2.7985213006722267,22.164554114335235,0.9552826199589193
HL_C_F_RL_2,HL_C,F,RL,2,10hz,4,CTRV,False,33.14752113804882,3.1872112617537844,53.82827317898564,0.9840314317149721
HL_C_F_LR_5,HL_C,F,LR,5,full,4,CTRV,False,16.49213625701632,3.6097577098351334,26.436966100343763,1.108902339375048
HL_C_F_LR_5,HL_C,F,LR,5,10hz,4,CTRV,False,32.92156668273406,2.6280237352229676,56.143412513521675,0.9437226418645253
DL_C_F_TLBR_5,DL_C,F,TLBR,5,full,4,CTRV,False,19.405207585265472,3.813784718740292,28.719185684783604,1.0366111707970402
DL_C_F_TLBR_5,DL_C,F,TLBR,5,10hz,4,CTRV,False,31.294436769896304,3.116662180681291,56.089960357012735,0.9181731745561489
DL_C_F_BRTL_5,DL_C,F,BRTL,5,full,4,CTRV,False,17.357730650871318,3.3193621654622665,28.51689143578042,1.0487327736158967
DL_C_F_BRTL_5,DL_C,F,BRTL,5,10hz,4,CTRV,False,33.15095526472518,2.649858069164609,54.82092152639366,0.9127934099098063
DL_C_A_BRTL_2,DL_C,A,BRTL,2,full,4,CTRV,False,17.538630304687587,3.8796670526126578,28.944154686195173,1.0212956710535273
DL_C_A_BRTL_2,DL_C,A,BRTL,2,10hz,4,CTRV,False,45.089061105420306,2.9872109987179116,73.52974890252106,1.0742117277652286
DL_C_F_BRTL_1,DL_C,F,BRTL,1,full,4,CTRV,False,18.202675450340482,3.102105732567469,28.535614420014472,0.9786256050543692
DL_C_F_BRTL_1,DL_C,F,BRTL,1,10hz,4,CTRV,False,41.08986625725254,3.273283209269872,65.01953828155229,1.0283073178706879
DL_C_F_TLBR_6,DL_C,F,TLBR,6,full,4,CTRV,False,14.983491470569367,3.8840675101684115,22.316616511470436,1.0083143321446033
DL_C_F_TLBR_6,DL_C,F,TLBR,6,10hz,4,CTRV,False,28.41702577333866,3.3284832781271354,45.062678149266354,0.9055918681977355
DL_C_F_BRTL_2,DL_C,F,BRTL,2,full,4,CTRV,False,24.792710105183755,3.2296900594390063,35.195745127406646,0.7968192314537189
DL_C_F_BRTL_2,DL_C,F,BRTL,2,10hz,4,CTRV,False,36.90033862817185,3.532830495534239,55.06440181047428,0.8246050758568046
DL_C_A_TLBR_3,DL_C,A,TLBR,3,full,4,CTRV,False,16.25226867701157,3.1546843851882325,26.585157181991065,1.0545983955022653
DL_C_A_TLBR_3,DL_C,A,TLBR,3,10hz,4,CTRV,False,40.18562329562799,3.6998819654499733,66.52216050637908,1.2280278779696896
DL_C_A_TLBR_1,DL_C,A,TLBR,1,full,4,CTRV,False,17.8789756187605,3.6861238380717487,27.71449713382411,1.0415899522760796
DL_C_A_TLBR_1,DL_C,A,TLBR,1,10hz,4,CTRV,False,42.17359996391439,4.087394490047295,67.47081217134709,1.1263294504715675
DL_C_F_TLBR_2,DL_C,F,TLBR,2,full,4,CTRV,False,20.409674670010343,3.7070361785179937,31.108772054039544,0.9973670464149531
DL_C_F_TLBR_2,DL_C,F,TLBR,2,10hz,4,CTRV,False,42.826382242072484,6.137987773085701,59.22253324449438,0.9703940453435033
DL_C_F_TLBR_4,DL_C,F,TLBR,4,full,4,CTRV,False,13.006374574849033,3.6943205689208614,20.117538177712866,1.0625193383863785
DL_C_F_TLBR_4,DL_C,F,TLBR,4,10hz,4,CTRV,False,28.031010525143714,3.947958107182755,44.73844884493912,1.0931136687955252
DL_C_A_TLBR_2,DL_C,A,TLBR,2,full,4,CTRV,False,20.317314478837993,3.649203402721711,33.00410192736173,1.1030784915093472
DL_C_A_TLBR_2,DL_C,A,TLBR,2,10hz,4,CTRV,False,37.47542535547888,2.9402789983433766,62.31077801176017,0.7993582610170776
DL_C_A_BRTL_1,DL_C,A,BRTL,1,full,4,CTRV,False,21.683435155696905,2.834779473870282,36.107223972610406,0.8113471696027387
DL_C_A_BRTL_1,DL_C,A,BRTL,1,10hz,4,CTRV,False,41.108579455594764,2.0998244058969386,67.08300323334785,0.6615985474392931
DL_C_A_BRTL_3,DL_C,A,BRTL,3,full,4,CTRV,False,19.474840764391626,3.704105698399749,31.616161127275983,1.0697180631944805
DL_C_A_BRTL_3,DL_C,A,BRTL,3,10hz,4,CTRV,False,40.91429283111753,2.6980485689459024,70.77077512811724,0.9619688889820096
DL_C_F_BRTL_6,DL_C,F,BRTL,6,full,4,CTRV,False,11.598533503778127,3.3859477322226277,18.16620150782602,0.9607770925775798
DL_C_F_BRTL_6,DL_C,F,BRTL,6,10hz,4,CTRV,False,25.25996188176657,2.829677852662513,41.69543930898222,0.9865884920012683
DL_C_F_BRTL_4,DL_C,F,BRTL,4,full,4,CTRV,False,17.221303480339117,2.9366180183732142,27.508707980727777,0.9864395761720959
DL_C_F_BRTL_4,DL_C,F,BRTL,4,10hz,4,CTRV,False,29.101327847213085,2.1894008186397875,49.28456920538126,0.8236114783882849
DL_C_F_BRTL_3,DL_C,F,BRTL,3,full,4,CTRV,False,15.411818726364269,3.2651838604048034,25.51943873517862,1.0005654313295929
DL_C_F_BRTL_3,DL_C,F,BRTL,3,10hz,4,CTRV,False,32.59274428064509,2.221999648170136,57.03698199180716,0.8714071377515755
DL_C_F_TLBR_1,DL_C,F,TLBR,1,full,4,CTRV,False,15.864765266992219,3.5907491745551656,25.233518121332533,1.0552351959957789
DL_C_F_TLBR_1,DL_C,F,TLBR,1,10hz,4,CTRV,False,36.14216355684633,3.193916928861107,58.381817463354956,1.0407653876071061
DL_C_F_TLBR_3,DL_C,F,TLBR,3,full,4,CTRV,False,15.66700095075751,3.5143291118360365,24.922501420561307,1.016867215195322
DL_C_F_TLBR_3,DL_C,F,TLBR,3,10hz,4,CTRV,False,28.729825103529272,2.4352270813673913,45.90920123031585,0.7907733314942412
IL_C_A_RCW_3,IL_C,A,RCW,3,full,4,CTRV,False,9.365532303579531,3.9424053528767877,14.7176475446496,1.0145650253888603
IL_C_A_RCW_3,IL_C,A,RCW,3,10hz,4,CTRV,False,22.000808552361182,4.893658097057545,34.68204343556529,1.1859799450593123
IL_C_A_RCCW_4,IL_C,A,RCCW,4,full,4,CTRV,False,11.742544565162135,4.317450983033814,18.756362251785138,1.0153089602168248
IL_C_A_RCCW_4,IL_C,A,RCCW,4,10hz,4,CTRV,False,25.45230322668245,3.5068509690542493,41.52749750546833,0.9922875382058995
IL_C_F_RCCW_4,IL_C,F,RCCW,4,full,4,CTRV,False,11.994530461039798,4.6431564376678836,18.862624217809138,1.0568461152853363
IL_C_F_RCCW_4,IL_C,F,RCCW,4,10hz,4,CTRV,False,26.062944473503823,4.561200581975903,42.66528730300612,1.1158093302414278
IL_C_F_RCCW_3,IL_C,F,RCCW,3,full,4,CTRV,False,10.713598040075839,5.2237790689523695,16.79462123723073,1.0440446846077729
IL_C_F_RCCW_3,IL_C,F,RCCW,3,10hz,4,CTRV,False,24.164851151467793,5.599840136837343,36.879220566871936,1.0461637784405275
IL_C_F_RCCW_1,IL_C,F,RCCW,1,full,4,CTRV,False,10.25927815269694,3.8611994476823717,16.346364764067978,1.065817135723798
IL_C_F_RCCW_1,IL_C,F,RCCW,1,10hz,4,CTRV,False,23.255146050089493,5.095397128557698,36.88455141591865,1.1050792683267343
IL_C_A_RCW_2,IL_C,A,RCW,2,full,4,CTRV,False,12.656570925212026,3.8567673812866996,19.548518068066493,1.0057385672958952
IL_C_A_RCW_2,IL_C,A,RCW,2,10hz,4,CTRV,False,27.787258849709524,3.843450153211504,43.20563222233394,0.9594220004317172
IL_C_F_RCW_4,IL_C,F,RCW,4,full,4,CTRV,False,13.550267161834567,4.075891667773976,21.15860665372963,1.029015183601845
IL_C_F_RCW_4,IL_C,F,RCW,4,10hz,4,CTRV,False,33.131337291960676,4.325557510990612,50.65154268032958,1.0400174826032542
IL_C_F_RCW_6,IL_C,F,RCW,6,full,4,CTRV,False,12.624570877658417,4.105798950891429,19.438495669730234,1.034705389818839
IL_C_F_RCW_6,IL_C,F,RCW,6,10hz,4,CTRV,False,27.881752288618696,4.702876637330131,43.13907470979266,1.0568647804640754
IL_C_F_RCW_2,IL_C,F,RCW,2,full,4,CTRV,False,12.104483174105397,4.519356078464469,19.351598120473152,1.1959522788557737
IL_C_F_RCW_2,IL_C,F,RCW,2,10hz,4,CTRV,False,27.494012813442563,5.080119811638038,43.18180168018015,1.1318891135024913
IL_C_F_RCW_1,IL_C,F,RCW,1,full,4,CTRV,False,12.386557848204971,4.655607485608111,19.702757342124258,1.2084015115951465
IL_C_F_RCW_1,IL_C,F,RCW,1,10hz,4,CTRV,False,26.40608566582943,4.210865969725959,41.88641758361306,1.1800516535284034
IL_C_A_RCCW_2,IL_C,A,RCCW,2,full,4,CTRV,False,13.201310262014681,3.5199131312640572,20.192931325506546,0.9944494618979841
IL_C_A_RCCW_2,IL_C,A,RCCW,2,10hz,4,CTRV,False,29.161631003088605,3.829509626257314,44.83511730049065,0.9999029328761798
IL_C_A_RCCW_3,IL_C,A,RCCW,3,full,4,CTRV,False,12.787179362821165,3.744791723065986,19.93201216627657,1.044591647048346
IL_C_A_RCCW_3,IL_C,A,RCCW,3,10hz,4,CTRV,False,25.986213502780956,4.522454883211874,40.28745580054308,1.0108047844380372
IL_C_A_RCCW_1,IL_C,A,RCCW,1,full,4,CTRV,False,11.459093074179018,3.4139523534273657,18.580392747564304,1.064795318057728
IL_C_A_RCCW_1,IL_C,A,RCCW,1,10hz,4,CTRV,False,28.870221973687837,4.367044129598792,45.657187661448795,1.1886985302868232
IL_C_F_RCW_7,IL_C,F,RCW,7,full,4,CTRV,False,10.98400333920714,3.446345268752565,17.42887245741193,0.9499608384775251
IL_C_F_RCW_7,IL_C,F,RCW,7,10hz,4,CTRV,False,24.377224397327605,4.358023137506339,38.778470370654226,0.9750897538541565
IL_C_F_RCW_3,IL_C,F,RCW,3,full,4,CTRV,False,10.946381787670585,3.591151978508485,17.178872388195238,0.9696160373035538
IL_C_F_RCW_3,IL_C,F,RCW,3,10hz,4,CTRV,False,24.32843626401464,3.6844480995983844,38.20243667883103,0.9711634884202127
IL_C_A_RCW_1,IL_C,A,RCW,1,full,4,CTRV,False,15.222255703336133,4.626822409931983,22.664145143191927,0.9982683160885923
IL_C_A_RCW_1,IL_C,A,RCW,1,10hz,4,CTRV,False,33.95344585963124,3.5057499824058964,51.733102362652666,1.0292052633159232
IL_C_A_RCW_4,IL_C,A,RCW,4,full,4,CTRV,False,11.965134887945583,3.4750304524884226,18.43211379852357,0.9809918283100227
IL_C_A_RCW_4,IL_C,A,RCW,4,10hz,4,CTRV,False,27.49446892790667,4.657510638430041,42.60018614497235,1.0650852574983618
IL_C_F_RCCW_2,IL_C,F,RCCW,2,full,4,CTRV,False,9.429367188869305,4.103559156327582,14.986131902315677,1.0025786240360886
