Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
ET_C_A_DIR_212,ET_C,A,DIR,212,2.5,12,CTRV,6.0,6,1.8578828975012087,1.9427225489315527,4.442023084148944,0.3607759352712913
ET_C_A_DIR_316,ET_C,A,DIR,316,2.5,12,CTRV,6.0,6,0.8469768271863347,1.2326620767002865,1.9342021753323324,0.2358035472131811
ET_C_A_DIR_139,ET_C,A,DIR,139,2.5,12,CTRV,6.0,6,1.5099454841451707,1.4062009878419182,4.244100118572033,0.3271926100940972
ET_C_A_DIR_197,ET_C,A,DIR,197,2.5,12,CTRV,6.0,6,3.3106899683241915,3.517832212932904,7.507310071370414,0.6873018405800689
ET_C_A_DIR_298,ET_C,A,DIR,298,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_7,ET_C,A,DIR,7,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_243,ET_C,A,DIR,243,2.5,12,CTRV,6.0,6,2.170341895652542,1.8152859530751733,5.8587759756413895,0.4334611354869349
ET_C_A_DIR_297,ET_C,A,DIR,297,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_301,ET_C,A,DIR,301,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_181,ET_C,A,DIR,181,2.5,12,CTRV,6.0,6,1.8325129857899285,2.038935910992897,4.551699151725211,0.3851350361428228
ET_C_A_DIR_87,ET_C,A,DIR,87,2.5,12,CTRV,6.0,6,2.5098259550965545,2.4640612164129867,6.235505780473551,0.4895688241960108
ET_C_A_DIR_293,ET_C,A,DIR,293,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_11,ET_C,A,DIR,11,2.5,12,CTRV,6.0,6,2.596538565307679,3.5337526789137903,5.539348094132403,0.6356120013457418
ET_C_A_DIR_33,ET_C,A,DIR,33,2.5,12,CTRV,6.0,6,2.147332732438552,2.335193346216913,6.033376555079968,0.5622251820167896
