Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Avg. Lin. Vel.,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_3,VL_C,F,TD,3,full,4,CV,False,10.61081601826931,3.987745544998756,17.300369228426487,1.0055400137470347
VL_C_F_TD_3,VL_C,F,TD,3,10hz,4,CV,False,22.825323174161944,4.625405128507666,37.33944721479107,0.995166446069826
VL_C_F_BU_5,VL_C,F,BU,5,full,4,CV,False,10.443218221104145,2.7076531110096544,18.224721239219,0.9618694282498532
VL_C_F_BU_5,VL_C,F,BU,5,10hz,4,CV,False,31.477281990472015,4.497486705825919,47.27611596214428,0.9220518624951201
VL_C_F_BU_6,VL_C,F,BU,6,full,4,CV,False,11.66565313368029,3.4705627375642747,18.802437745902882,0.8434039527984347
VL_C_F_BU_6,VL_C,F,BU,6,10hz,4,CV,False,21.763980246108975,3.2766908171537428,34.059832582543066,0.6292465444860913
VL_C_F_TD_5,VL_C,F,TD,5,full,4,CV,False,12.418524151769006,13.425347015276776,21.260622382044065,1.4602852353911027
VL_C_F_TD_5,VL_C,F,TD,5,10hz,4,CV,False,42.14480294333503,11.335976258581507,60.914851602203555,1.5512840235614764
VL_C_A_TD_1,VL_C,A,TD,1,full,4,CV,False,15.114788335273156,4.94464903820589,24.994454151324707,1.140733707740169
VL_C_A_TD_1,VL_C,A,TD,1,10hz,4,CV,False,38.80946234193462,8.73349631659042,56.48265321795165,1.1090710601321634
VL_C_A_BU_3,VL_C,A,BU,3,full,4,CV,False,17.897963057858217,4.099949178079877,28.22717665143901,0.8533445832196671
VL_C_A_BU_3,VL_C,A,BU,3,10hz,4,CV,False,23.46478754363916,1.3556951505324923,35.620969305012245,0.42134717987344844
VL_C_A_BU_1,VL_C,A,BU,1,full,4,CV,False,11.936279694377015,2.5756879971974174,20.709169147198082,0.948715642363558
VL_C_A_BU_1,VL_C,A,BU,1,10hz,4,CV,False,34.18382354242591,4.404279901258842,52.53832775444236,0.9075914149778417
VL_C_F_TD_2,VL_C,F,TD,2,full,4,CV,False,10.627993452376598,3.3977851998694435,17.64409846550087,1.0128453508979762
VL_C_F_TD_2,VL_C,F,TD,2,10hz,4,CV,False,24.46133849200471,3.5625784939280845,40.513083968755076,0.8747755654323768
VL_C_A_TD_3,VL_C,A,TD,3,full,4,CV,False,10.5727554403887,2.9967972089309205,17.165455665437083,0.8895877133055269
VL_C_A_TD_3,VL_C,A,TD,3,10hz,4,CV,False,22.64401515880028,2.8903699382369323,33.63599233848092,0.7414866266094982
VL_C_F_TD_6,VL_C,F,TD,6,full,4,CV,False,8.720408772114967,5.952928525738315,14.68228666970974,1.0144685742804893
VL_C_F_TD_6,VL_C,F,TD,6,10hz,4,CV,False,28.049760881935555,6.141382512512832,46.79668261452461,1.3541475073204723
VL_C_F_BU_1,VL_C,F,BU,1,full,4,CV,False,11.045154110818482,4.281619939931244,18.633589784723156,1.0668431467733217
VL_C_F_BU_1,VL_C,F,BU,1,10hz,4,CV,False,29.01904394858926,4.637069480904986,46.84968287064014,1.0374538983468602
VL_C_F_TD_1,VL_C,F,TD,1,full,4,CV,False,13.264829989556482,3.93919762264863,20.442786532380378,1.158011409620015
VL_C_F_TD_1,VL_C,F,TD,1,10hz,4,CV,False,27.72409409495698,3.5690887634551998,41.51177374652641,0.8594793071390756
