dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,speed_avg,average_error,average_error_normal
VL_C_F_TD_3,VL_C,F,TD,3,full,1,CTRV,True,4.570775587666884,2.416930975421676
VL_C_F_TD_3,VL_C,F,TD,3,2.5hz,1,CTRV,True,29.71366048934949,0.663118767419144
VL_C_F_TD_3,VL_C,F,TD,3,10hz,1,CTRV,True,11.672355281256447,1.9561564568339354
VL_C_F_BU_5,VL_C,F,BU,5,full,1,CTRV,True,4.58532323741275,1.036046600713996
VL_C_F_BU_5,VL_C,F,BU,5,2.5hz,1,CTRV,True,,
VL_C_F_BU_5,VL_C,F,BU,5,10hz,1,CTRV,True,16.498636518068256,1.9036444054342303
VL_C_F_BU_6,VL_C,F,BU,6,full,1,CTRV,True,5.31420289161733,1.7528516058394523
VL_C_F_BU_6,VL_C,F,BU,6,2.5hz,1,CTRV,True,22.37698144328467,0.39088772588895715
VL_C_F_BU_6,VL_C,F,BU,6,10hz,1,CTRV,True,13.32606857269075,3.3415347776488815
VL_C_F_TD_5,VL_C,F,TD,5,full,1,CTRV,True,4.667765419333883,5.251339437775236
VL_C_F_TD_5,VL_C,F,TD,5,2.5hz,1,CTRV,True,,
VL_C_F_TD_5,VL_C,F,TD,5,10hz,1,CTRV,True,18.12869985053843,4.117214865903546
VL_C_A_TD_1,VL_C,A,TD,1,full,1,CTRV,True,6.373149975521856,1.8045349639006156
VL_C_A_TD_1,VL_C,A,TD,1,2.5hz,1,CTRV,True,37.70202957249745,0.5425946880006569
VL_C_A_TD_1,VL_C,A,TD,1,10hz,1,CTRV,True,15.678083679660638,4.111327480223972
VL_C_A_BU_3,VL_C,A,BU,3,full,1,CTRV,True,6.773277523413279,1.9779238529679184
VL_C_A_BU_3,VL_C,A,BU,3,2.5hz,1,CTRV,True,,
VL_C_A_BU_3,VL_C,A,BU,3,10hz,1,CTRV,True,15.062378529964324,0.8476339266352211
VL_C_A_BU_1,VL_C,A,BU,1,full,1,CTRV,True,4.717244410815991,1.000553183879591
VL_C_A_BU_1,VL_C,A,BU,1,2.5hz,1,CTRV,True,32.338446348089526,0.4546365117512994
VL_C_A_BU_1,VL_C,A,BU,1,10hz,1,CTRV,True,15.791671030264679,2.114541241840667
VL_C_F_TD_2,VL_C,F,TD,2,full,1,CTRV,True,4.215385500017836,1.2342009666716858
VL_C_F_TD_2,VL_C,F,TD,2,2.5hz,1,CTRV,True,24.326520407296204,0.8415431735425782
VL_C_F_TD_2,VL_C,F,TD,2,10hz,1,CTRV,True,11.519256235531044,2.3747764199350163
VL_C_A_TD_3,VL_C,A,TD,3,full,1,CTRV,True,4.732738172004015,1.2385071164134243
VL_C_A_TD_3,VL_C,A,TD,3,2.5hz,1,CTRV,True,22.626801963104203,0.4950351225241792
VL_C_A_TD_3,VL_C,A,TD,3,10hz,1,CTRV,True,13.367916028389908,1.9837974401220693
VL_C_F_TD_6,VL_C,F,TD,6,full,1,CTRV,True,3.9284024693065422,2.6359291377839016
