dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,average_error,average_error_normal
CP_C_F_CW_1,CP_C,F,CW,1,full,4,CTRV,124.05038043697569,6.763600464268209
CP_C_F_CW_1,CP_C,F,CW,1,10hz,4,CTRV,129.92508152855223,2.954034703728248
CP_C_F_CCW_1,CP_C,F,CCW,1,full,4,CTRV,138.23933656898433,8.3536661294991
CP_C_F_CCW_1,CP_C,F,CCW,1,10hz,4,CTRV,139.39974771764363,3.2852408540670117
CP_C_A_CCW_3,CP_C,A,CCW,3,full,4,CTRV,137.30239762633394,7.402303222418338
CP_C_A_CCW_3,CP_C,A,CCW,3,10hz,4,CTRV,146.40106062338452,2.710367877124052
CP_C_A_CCW_1,CP_C,A,CCW,1,full,4,CTRV,150.54057944887325,10.844321301970274
CP_C_A_CCW_1,CP_C,A,CCW,1,10hz,4,CTRV,159.52876026722672,5.110194119370704
CP_C_F_CW_4,CP_C,F,CW,4,full,4,CTRV,103.84580222875826,5.268959308887792
CP_C_F_CW_4,CP_C,F,CW,4,10hz,4,CTRV,107.67007237488896,2.2301370524944333
CP_C_F_CW_3,CP_C,F,CW,3,full,4,CTRV,119.23162449294291,6.44841248106936
CP_C_F_CW_3,CP_C,F,CW,3,10hz,4,CTRV,128.509955681806,2.92217442126001
CP_C_F_CW_2,CP_C,F,CW,2,full,4,CTRV,125.1287242244475,6.018884037008862
CP_C_F_CW_2,CP_C,F,CW,2,10hz,4,CTRV,129.24463030968477,2.698087256205633
CP_C_A_CW_2,CP_C,A,CW,2,full,4,CTRV,122.911481944575,6.4529762978783145
CP_C_A_CW_2,CP_C,A,CW,2,10hz,4,CTRV,128.53536669896363,2.5151245465245613
CP_C_A_CW_3,CP_C,A,CW,3,full,4,CTRV,122.07136383256974,5.771960745630326
CP_C_A_CW_3,CP_C,A,CW,3,10hz,4,CTRV,122.3935052027502,2.3068312289923165
CP_C_A_CCW_2,CP_C,A,CCW,2,full,4,CTRV,133.67914786942472,6.139198026678892
CP_C_A_CCW_2,CP_C,A,CCW,2,10hz,4,CTRV,145.72226902494816,2.712863219211646
CP_C_F_CCW_2,CP_C,F,CCW,2,full,4,CTRV,134.32097807580345,8.412838121454424
CP_C_F_CCW_2,CP_C,F,CCW,2,10hz,4,CTRV,147.29133483362878,3.6944264799793487
CP_C_F_CCW_3,CP_C,F,CCW,3,full,4,CTRV,121.73796318856876,6.527876533725161
CP_C_F_CCW_3,CP_C,F,CCW,3,10hz,4,CTRV,136.4188629474196,2.905531438830653
CP_C_A_CW_1,CP_C,A,CW,1,full,4,CTRV,132.7454558269267,7.239846520528809
CP_C_A_CW_1,CP_C,A,CW,1,10hz,4,CTRV,136.54687298668426,2.954420090516787
SP_C_A_CCW_4,SP_C,A,CCW,4,full,4,CTRV,159.87324849355306,12.586574568449915
SP_C_A_CCW_4,SP_C,A,CCW,4,10hz,4,CTRV,170.06044308102688,5.231449238208728
SP_C_A_CW_4,SP_C,A,CW,4,full,4,CTRV,128.79855989919665,10.856524315334084
SP_C_A_CW_4,SP_C,A,CW,4,10hz,4,CTRV,132.07789226251458,5.1514270312676
SP_C_A_CCW_1,SP_C,A,CCW,1,full,4,CTRV,154.01997201255477,11.80393986330457
SP_C_A_CCW_1,SP_C,A,CCW,1,10hz,4,CTRV,159.4457984294814,5.254040916350987
SP_C_F_CW_2,SP_C,F,CW,2,full,4,CTRV,135.97284251008156,11.67106809462262
SP_C_F_CW_2,SP_C,F,CW,2,10hz,4,CTRV,137.09102511754406,4.6933823065089735
SP_C_F_CCW_2,SP_C,F,CCW,2,full,4,CTRV,166.83190231745672,7.620288645353808
SP_C_F_CCW_2,SP_C,F,CCW,2,10hz,4,CTRV,169.20276893277378,3.6035176194877097
SP_C_A_CW_2,SP_C,A,CW,2,full,4,CTRV,153.88038051284212,10.83017975349483
SP_C_A_CW_2,SP_C,A,CW,2,10hz,4,CTRV,155.48450702476342,4.560330028688487
SP_C_F_CW_3,SP_C,F,CW,3,full,4,CTRV,142.09567119323358,8.786262306577484
SP_C_F_CW_3,SP_C,F,CW,3,10hz,4,CTRV,148.82279076633083,3.622806571168632
SP_C_A_CW_1,SP_C,A,CW,1,full,4,CTRV,131.4520062278073,12.16821666083088
SP_C_A_CW_1,SP_C,A,CW,1,10hz,4,CTRV,137.54532913026136,5.303706953074845
SP_C_A_CCW_2,SP_C,A,CCW,2,full,4,CTRV,133.42591901726058,6.521641846621563
SP_C_A_CCW_2,SP_C,A,CCW,2,10hz,4,CTRV,139.84781715573936,3.187781106349229
SP_C_A_CCW_3,SP_C,A,CCW,3,full,4,CTRV,129.6724187987298,8.126970454948317
SP_C_A_CCW_3,SP_C,A,CCW,3,10hz,4,CTRV,133.73999146491036,3.525279560021969
SP_C_F_CCW_3,SP_C,F,CCW,3,full,4,CTRV,151.51471000330477,10.216041224913884
SP_C_F_CCW_3,SP_C,F,CCW,3,10hz,4,CTRV,155.02874386140826,4.780168798670543
SP_C_A_CW_3,SP_C,A,CW,3,full,4,CTRV,131.4520062278073,12.16821666083088
SP_C_A_CW_3,SP_C,A,CW,3,10hz,4,CTRV,137.54532913026136,5.303706953074845
SP_C_F_CCW_4,SP_C,F,CCW,4,full,4,CTRV,150.66774297185023,9.653412727655564
SP_C_F_CCW_4,SP_C,F,CCW,4,10hz,4,CTRV,159.33548829027586,4.213780747405727
SP_C_F_CW_4,SP_C,F,CW,4,full,4,CTRV,144.69375784599308,10.25725465373008
SP_C_F_CW_4,SP_C,F,CW,4,10hz,4,CTRV,155.54769403529625,4.461613536329836
SP_C_F_CW_1,SP_C,F,CW,1,full,4,CTRV,128.32223860142642,11.047367199875948
SP_C_F_CW_1,SP_C,F,CW,1,10hz,4,CTRV,137.52798740506364,4.910016085773681
SP_C_F_CCW_1,SP_C,F,CCW,1,full,4,CTRV,159.6586538562615,13.772519001811665
SP_C_F_CCW_1,SP_C,F,CCW,1,10hz,4,CTRV,167.118087463625,5.571457447550618
IL_C_A_RCW_3,IL_C,A,RCW,3,full,4,CTRV,124.65931880782566,11.237582736905743
IL_C_A_RCW_3,IL_C,A,RCW,3,10hz,4,CTRV,130.6913774325418,5.014622408660912
IL_C_A_RCCW_4,IL_C,A,RCCW,4,full,4,CTRV,133.14728090827987,7.859031501509129
IL_C_A_RCCW_4,IL_C,A,RCCW,4,10hz,4,CTRV,133.9012871029861,3.2873388525446563
IL_C_F_RCCW_4,IL_C,F,RCCW,4,full,4,CTRV,126.44858878694228,7.705627064239605
