Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
U1_C_A_DIR_257,U1_C,A,DIR,257,path,12,CV,,6,0.7434587524341358,8.12234629306818,1.5623520173860572,0.9631882002912392
U1_C_A_DIR_276,U1_C,A,DIR,276,path,12,CV,,6,0.2086525014775573,11.797443229121896,0.4286195298899516,1.2613648804160351
U3_C_A_DIR_44,U3_C,A,DIR,44,path,12,CV,,6,1.4374995041894063,3.559111955162657,2.533743532844669,0.4761958639154147
U1_C_A_DIR_384,U1_C,A,DIR,384,path,12,CV,,6,0.4120250914230587,1.8697538942539151,0.9061747369473652,0.3541279396529037
ET_C_A_DIR_212,ET_C,A,DIR,212,path,12,CV,,6,1.765577841584337,1.7515896208736623,3.5746815160234684,0.2865084272526169
Z2_C_A_DIR_7,Z2_C,A,DIR,7,path,12,CV,,6,1.411467491307644,4.077499396813943,3.0300667382689586,0.6242853028237678
ET_C_A_DIR_316,ET_C,A,DIR,316,path,12,CV,,6,0.5162909071341693,0.749990505828183,1.018527720414142,0.1242782183137988
HT_C_A_DIR_75,HT_C,A,DIR,75,path,12,CV,,6,,,,
U3_C_A_DIR_301,U3_C,A,DIR,301,path,12,CV,,6,0.6032146245447768,2.3175258048887186,1.2517129213038587,0.3893622815751416
U3_C_A_DIR_357,U3_C,A,DIR,357,path,12,CV,,6,0.2897503200026882,1.4550894818899882,0.6618457663495382,0.2792622353594882
ET_C_A_DIR_139,ET_C,A,DIR,139,path,12,CV,,6,0.9784961621481084,0.9317928732091154,2.0191739386554755,0.1564536479535247
HT_C_A_DIR_78,HT_C,A,DIR,78,path,12,CV,,6,,,,
U1_C_A_DIR_52,U1_C,A,DIR,52,path,12,CV,,6,0.8808547874603427,7.797503128092009,1.825462057502764,0.99783846912165
HT_C_A_DIR_91,HT_C,A,DIR,91,path,12,CV,,6,,,,
U3_C_A_DIR_396,U3_C,A,DIR,396,path,12,CV,,6,1.113874037424839,2.6311600934558963,2.3460363816091925,0.4191521519313601
Z2_C_A_DIR_204,Z2_C,A,DIR,204,path,12,CV,,6,,,,
U1_C_A_DIR_221,U1_C,A,DIR,221,path,12,CV,,6,0.862733918315629,2.257053322126408,1.7500491768346913,0.3670060779610225
U3_C_A_DIR_92,U3_C,A,DIR,92,path,12,CV,,6,0.4465333929158026,1.1229897955880763,0.8962247911624361,0.1995273147570575
ET_C_A_DIR_197,ET_C,A,DIR,197,path,12,CV,,6,1.2924841024921885,1.3777837606491277,2.3935665967380317,0.2133944602205504
U1_C_A_DIR_350,U1_C,A,DIR,350,path,12,CV,,6,0.8562797057822943,9.753175005100658,1.639941514824817,1.0832299823237657
U3_C_A_DIR_72,U3_C,A,DIR,72,path,12,CV,,6,0.9202498238581908,49.97123099909476,1.9385442309747805,3.412484121730156
