Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
U1_C_A_DIR_257,U1_C,A,DIR,257,path,12,CTRV,8,8,0.739071012209786,8.789815994702515,1.5674032658538284,0.978721254437106
U1_C_A_DIR_276,U1_C,A,DIR,276,path,12,CTRV,8,8,0.21163847601708,11.909342743426606,0.436498024295925,1.3187874642012136
U3_C_A_DIR_44,U3_C,A,DIR,44,path,12,CTRV,8,8,1.979848745837713,5.016443063257009,4.15476127854639,0.8215789618004214
U1_C_A_DIR_384,U1_C,A,DIR,384,path,12,CTRV,8,8,0.5130458796974874,2.3250607896243407,1.0434035544141176,0.401889457240465
ET_C_A_DIR_212,ET_C,A,DIR,212,path,12,CTRV,8,8,1.8578828975012087,1.9427225489315532,4.442023084148944,0.3607759352712913
Z2_C_A_DIR_7,Z2_C,A,DIR,7,path,12,CTRV,8,8,1.4833471533737963,4.429009064708316,3.4307355890452382,0.699429659925059
ET_C_A_DIR_316,ET_C,A,DIR,316,path,12,CTRV,8,8,0.8430199673113038,1.226530833324076,1.901937899306296,0.2319038497356551
HT_C_A_DIR_75,HT_C,A,DIR,75,path,12,CTRV,8,8,,,,
U3_C_A_DIR_301,U3_C,A,DIR,301,path,12,CTRV,8,8,0.5976912648469798,2.251946232235335,1.322823151031222,0.4010885516945243
U3_C_A_DIR_357,U3_C,A,DIR,357,path,12,CTRV,8,8,0.6024804941372838,2.6316043141151417,1.387037203575428,0.5550483599103098
ET_C_A_DIR_139,ET_C,A,DIR,139,path,12,CTRV,8,8,1.5099454841451707,1.4062009878419182,4.244100118572033,0.3271926100940972
HT_C_A_DIR_78,HT_C,A,DIR,78,path,12,CTRV,8,8,,,,
U1_C_A_DIR_52,U1_C,A,DIR,52,path,12,CTRV,8,8,1.0081452112692482,9.944122573410173,2.1701146290564908,1.2938645101235324
HT_C_A_DIR_91,HT_C,A,DIR,91,path,12,CTRV,8,8,,,,
U3_C_A_DIR_396,U3_C,A,DIR,396,path,12,CTRV,8,8,1.4185707369739018,3.295916091494085,3.241716476619694,0.5698781610874833
Z2_C_A_DIR_204,Z2_C,A,DIR,204,path,12,CTRV,8,8,,,,
U1_C_A_DIR_221,U1_C,A,DIR,221,path,12,CTRV,8,8,0.8701159936866684,2.3465814785278742,2.010220288897484,0.4374165939508688
U3_C_A_DIR_92,U3_C,A,DIR,92,path,12,CTRV,8,8,0.5850722669852021,1.458250570880549,1.2432965778309155,0.2675960358891847
ET_C_A_DIR_197,ET_C,A,DIR,197,path,12,CTRV,8,8,3.281589696991144,3.489122544128876,7.34347818421464,0.6735449529838833
U1_C_A_DIR_350,U1_C,A,DIR,350,path,12,CTRV,8,8,0.87650584004856,9.89561903620459,1.8110102109007,1.190849726923241
U3_C_A_DIR_72,U3_C,A,DIR,72,path,12,CTRV,8,8,1.0566065101430822,54.99800771168525,2.402852285557117,3.5182230563795063
U1_C_A_DIR_358,U1_C,A,DIR,358,path,12,CTRV,8,8,0.5687073000408769,2.426335275948453,1.3281306962495314,0.4651245402695459
HT_C_A_DIR_231,HT_C,A,DIR,231,path,12,CTRV,8,8,0.672094381031099,1.7838247995264058,1.5078034356593009,0.3323465545699788
U3_C_A_DIR_74,U3_C,A,DIR,74,path,12,CTRV,8,8,0.5268128176873617,7.161941854588337,1.1109519593482269,0.9864265303203166
Z1_C_A_DIR_19,Z1_C,A,DIR,19,path,12,CTRV,8,8,0.6525541256099296,1.998793452458105,1.4612550719359545,0.3722009638159302
U3_C_A_DIR_79,U3_C,A,DIR,79,path,12,CTRV,8,8,1.0232300263198155,1.9994472116974515,2.4247381315491943,0.4007415997814035
ET_C_A_DIR_298,ET_C,A,DIR,298,path,12,CTRV,8,8,,,,
U1_C_A_DIR_9,U1_C,A,DIR,9,path,12,CTRV,8,8,0.8587205564791391,1.453592190355978,2.3520377776096164,0.3488652020432954
U1_C_A_DIR_229,U1_C,A,DIR,229,path,12,CTRV,8,8,0.6306071493246233,2.6237972882732654,1.4172640828842378,0.4564073535081679
U1_C_A_DIR_275,U1_C,A,DIR,275,path,12,CTRV,8,8,0.6372797642181772,1.0817277886578789,1.4067977731359351,0.2029332074862146
HT_C_A_DIR_59,HT_C,A,DIR,59,path,12,CTRV,8,8,1.1692023832116394,3.963256643339788,2.3480634400922917,0.6072531961089727
ET_C_A_DIR_7,ET_C,A,DIR,7,path,12,CTRV,8,8,,,,
ET_C_A_DIR_243,ET_C,A,DIR,243,path,12,CTRV,8,8,2.170341895652542,1.8152859530751733,5.8587759756413895,0.4334611354869349
U1_C_A_DIR_266,U1_C,A,DIR,266,path,12,CTRV,8,8,0.5810597667703593,3.854608836784848,1.2269936277885791,0.586017150838697
HT_C_A_DIR_411,HT_C,A,DIR,411,path,12,CTRV,8,8,,,,
Z2_C_A_DIR_33,Z2_C,A,DIR,33,path,12,CTRV,8,8,0.4618528779509195,1.035932287173328,1.0285798940310098,0.190957097489892
