Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_3,VL_C,F,TD,3,full,12,CV,,8,22.194148080037362,3.9929265587578953,53.25622026832429,0.6351918694615848
VL_C_F_TD_3,VL_C,F,TD,3,10hz,12,CV,,8,37.94884613951433,2.2471034931512164,109.92631356271747,0.5304345969435632
VL_C_F_BU_5,VL_C,F,BU,5,full,12,CV,,8,33.02430033931327,5.442053024438003,90.84821302660764,1.1162453345123615
VL_C_F_BU_5,VL_C,F,BU,5,10hz,12,CV,,8,20.655406280789233,1.1599561252251491,49.31143000072282,0.2832622168821957
VL_C_F_BU_6,VL_C,F,BU,6,full,12,CV,,8,35.16150856843695,6.094756447303777,87.9635393582775,1.1993056451144306
VL_C_F_BU_6,VL_C,F,BU,6,10hz,12,CV,,8,23.136968972527125,1.3943840302677666,78.08619097538342,0.5671177935095447
VL_C_F_TD_5,VL_C,F,TD,5,full,12,CV,,8,30.69114462985001,4.50263045918779,80.11423567373461,0.6472489765686831
VL_C_F_TD_5,VL_C,F,TD,5,10hz,12,CV,,8,33.207273889650146,1.529990870429769,107.54019721494774,0.48010265814125375
VL_C_A_TD_1,VL_C,A,TD,1,full,12,CV,,8,28.253804037990417,3.376526993017297,78.42150843548221,0.608672822249697
VL_C_A_TD_1,VL_C,A,TD,1,10hz,12,CV,,8,35.24193617154932,1.5936645298479133,111.7596137360168,0.4927214366236622
VL_C_A_BU_3,VL_C,A,BU,3,full,12,CV,,8,38.32204628820713,4.414339163938066,77.4094316936623,0.6589342462168862
VL_C_A_BU_3,VL_C,A,BU,3,10hz,12,CV,,8,,,,
VL_C_A_BU_1,VL_C,A,BU,1,full,12,CV,,8,47.629065915290724,6.516990256368332,106.88030772675103,1.0972037821991256
VL_C_A_BU_1,VL_C,A,BU,1,10hz,12,CV,,8,26.42099651704868,1.7581093597662718,55.112693370510826,0.2940013319751782
VL_C_F_TD_2,VL_C,F,TD,2,full,12,CV,,8,9.961598047285984,2.3419386639416375,20.382869361011913,0.47015446419890883
VL_C_F_TD_2,VL_C,F,TD,2,10hz,12,CV,,8,23.670590473353254,2.3994324600687826,72.58259209420154,0.9291636509458471
VL_C_A_TD_3,VL_C,A,TD,3,full,12,CV,,8,8.662807106045356,2.1453477720327836,22.871087252092504,0.5949144230712046
VL_C_A_TD_3,VL_C,A,TD,3,10hz,12,CV,,8,27.65988472404548,2.489048224790117,78.12217299311318,0.989569344530038
VL_C_F_TD_6,VL_C,F,TD,6,full,12,CV,,8,20.954442207611038,4.074182895454202,50.05426250503329,0.6434911019132384
VL_C_F_TD_6,VL_C,F,TD,6,10hz,12,CV,,8,38.535620950703695,2.3288037176989564,113.48896636189139,0.5449452476722677
VL_C_F_BU_1,VL_C,F,BU,1,full,12,CV,,8,34.609526320923656,6.534577047581577,77.1106237655121,1.0056096584692247
VL_C_F_BU_1,VL_C,F,BU,1,10hz,12,CV,,8,29.340126060873786,2.231836355789283,60.76074751402785,0.3888313296333876
VL_C_F_TD_1,VL_C,F,TD,1,full,12,CV,,8,29.813567647168494,4.890555578812689,80.70151048770927,0.7587471661617258
VL_C_F_TD_1,VL_C,F,TD,1,10hz,12,CV,,8,30.035019371289632,1.3924470269505316,90.62107842727168,0.4318364630255823
VL_C_F_TD_4,VL_C,F,TD,4,full,12,CV,,8,26.967411399588507,4.426259326672226,70.98241927908205,0.7221349524319624
VL_C_F_TD_4,VL_C,F,TD,4,10hz,12,CV,,8,33.95173677372995,1.6538528002494952,109.02966168042528,0.48024005612920995
VL_C_A_TD_2,VL_C,A,TD,2,full,12,CV,,8,28.399434002094523,2.6993878701642786,75.33461411830805,0.5479701903768341
VL_C_A_TD_2,VL_C,A,TD,2,10hz,12,CV,,8,30.918756936455804,1.4050203921042097,105.50621868090275,0.48057215779848794
VL_C_A_BU_2,VL_C,A,BU,2,full,12,CV,,8,34.056577180795706,3.642367579675051,75.49527070644389,0.632286358692949
VL_C_A_BU_2,VL_C,A,BU,2,10hz,12,CV,,8,,,,
VL_C_F_BU_4,VL_C,F,BU,4,full,12,CV,,8,41.18835369533076,6.1115991474484845,88.91493605067073,1.0391757030752318
VL_C_F_BU_4,VL_C,F,BU,4,10hz,12,CV,,8,22.004238252837553,1.2902752134629811,51.810805616735465,0.36042792434734094
VL_C_F_BU_3,VL_C,F,BU,3,full,12,CV,,8,34.61094882175358,5.9179268660143585,78.2722641298877,0.9715958305331286
VL_C_F_BU_3,VL_C,F,BU,3,10hz,12,CV,,8,26.936954349404303,2.0918010466522277,62.11982646639657,0.34609450745116044
VL_C_F_BU_2,VL_C,F,BU,2,full,12,CV,,8,32.708510406557956,5.9895122896743915,85.63056062102221,1.0743615540279214
VL_C_F_BU_2,VL_C,F,BU,2,10hz,12,CV,,8,27.617704141298045,2.1495009593319168,53.61644616510036,0.28885559090883733
HL_C_F_RL_4,HL_C,F,RL,4,full,12,CV,,8,7.155433861433943,2.0387881691933,12.839386913115492,0.2828134190050809
HL_C_F_RL_4,HL_C,F,RL,4,10hz,12,CV,,8,22.62559882522321,2.189014017223798,56.50810791314048,0.5336755799076676
HL_C_A_RL_2,HL_C,A,RL,2,full,12,CV,,8,17.97079419804201,2.297712545736203,42.74868479418101,0.38125944907901094
HL_C_A_RL_2,HL_C,A,RL,2,10hz,12,CV,,8,45.9908757691616,2.0312983797610817,152.83128836232672,0.6365648511165874
