Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_3,VL_C,F,TD,3,2.5hz,8,CV,,8,24.880790745243093,0.7518284209980833,,
VL_C_F_BU_5,VL_C,F,BU,5,2.5hz,8,CV,,8,,,,
VL_C_F_BU_6,VL_C,F,BU,6,2.5hz,8,CV,,8,,,,
VL_C_F_TD_5,VL_C,F,TD,5,2.5hz,8,CV,,8,,,,
VL_C_A_TD_1,VL_C,A,TD,1,2.5hz,8,CV,,8,27.759804638752613,0.8234793479491936,,
VL_C_A_BU_3,VL_C,A,BU,3,2.5hz,8,CV,,8,,,,
VL_C_A_BU_1,VL_C,A,BU,1,2.5hz,8,CV,,8,,,,
VL_C_F_TD_2,VL_C,F,TD,2,2.5hz,8,CV,,8,36.70043708258384,0.6761822020422872,,
VL_C_A_TD_3,VL_C,A,TD,3,2.5hz,8,CV,,8,61.88862811276574,1.0685222312221148,,
VL_C_F_TD_6,VL_C,F,TD,6,2.5hz,8,CV,,8,67.27532881113991,3.3738127526085173,,
VL_C_F_BU_1,VL_C,F,BU,1,2.5hz,8,CV,,8,,,,
VL_C_F_TD_1,VL_C,F,TD,1,2.5hz,8,CV,,8,,,,
VL_C_F_TD_4,VL_C,F,TD,4,2.5hz,8,CV,,8,40.40682730535293,1.0170962776933403,,
VL_C_A_TD_2,VL_C,A,TD,2,2.5hz,8,CV,,8,42.312023553105945,0.5739306955039639,,
VL_C_A_BU_2,VL_C,A,BU,2,2.5hz,8,CV,,8,,,,
VL_C_F_BU_4,VL_C,F,BU,4,2.5hz,8,CV,,8,,,,
VL_C_F_BU_3,VL_C,F,BU,3,2.5hz,8,CV,,8,,,,
VL_C_F_BU_2,VL_C,F,BU,2,2.5hz,8,CV,,8,,,,
HL_C_F_RL_4,HL_C,F,RL,4,2.5hz,8,CV,,8,46.22604311033607,1.1647393611867836,,
HL_C_A_RL_2,HL_C,A,RL,2,2.5hz,8,CV,,8,49.871100519061656,0.729251255719236,,
HL_C_F_RL_3,HL_C,F,RL,3,2.5hz,8,CV,,8,13.715936864836593,0.2244319211945717,,
HL_C_F_RL_1,HL_C,F,RL,1,2.5hz,8,CV,,8,22.419860513789363,0.4546047976557298,,
HL_C_A_LR_1,HL_C,A,LR,1,2.5hz,8,CV,,8,,,,
HL_C_A_RL_3,HL_C,A,RL,3,2.5hz,8,CV,,8,104.69057765545544,1.455008492570808,,
HL_C_F_LR_1,HL_C,F,LR,1,2.5hz,8,CV,,8,,,,
HL_C_F_LR_3,HL_C,F,LR,3,2.5hz,8,CV,,8,,,,
HL_C_F_LR_4,HL_C,F,LR,4,2.5hz,8,CV,,8,,,,
HL_C_A_LR_3,HL_C,A,LR,3,2.5hz,8,CV,,8,,,,
HL_C_A_LR_2,HL_C,A,LR,2,2.5hz,8,CV,,8,,,,
HL_C_F_RL_6,HL_C,F,RL,6,2.5hz,8,CV,,8,66.34479589409983,1.433167523871137,,
HL_C_A_RL_1,HL_C,A,RL,1,2.5hz,8,CV,,8,108.4256712494144,1.1652837056679617,,
HL_C_F_RL_5,HL_C,F,RL,5,2.5hz,8,CV,,8,,,,
HL_C_F_LR_2,HL_C,F,LR,2,2.5hz,8,CV,,8,,,,
HL_C_F_LR_6,HL_C,F,LR,6,2.5hz,8,CV,,8,,,,
HL_C_F_RL_2,HL_C,F,RL,2,2.5hz,8,CV,,8,22.52641169999741,0.460151126680444,,
HL_C_F_LR_5,HL_C,F,LR,5,2.5hz,8,CV,,8,,,,
DL_C_F_TLBR_5,DL_C,F,TLBR,5,2.5hz,8,CV,,8,,,,
DL_C_F_BRTL_5,DL_C,F,BRTL,5,2.5hz,8,CV,,8,42.419610748383455,0.7545233331784926,,
DL_C_A_BRTL_2,DL_C,A,BRTL,2,2.5hz,8,CV,,8,,,,
DL_C_F_BRTL_1,DL_C,F,BRTL,1,2.5hz,8,CV,,8,,,,
DL_C_F_TLBR_6,DL_C,F,TLBR,6,2.5hz,8,CV,,8,,,,
DL_C_F_BRTL_2,DL_C,F,BRTL,2,2.5hz,8,CV,,8,,,,
DL_C_A_TLBR_3,DL_C,A,TLBR,3,2.5hz,8,CV,,8,,,,
DL_C_A_TLBR_1,DL_C,A,TLBR,1,2.5hz,8,CV,,8,,,,
DL_C_F_TLBR_2,DL_C,F,TLBR,2,2.5hz,8,CV,,8,,,,
DL_C_F_TLBR_4,DL_C,F,TLBR,4,2.5hz,8,CV,,8,,,,
DL_C_A_TLBR_2,DL_C,A,TLBR,2,2.5hz,8,CV,,8,,,,
DL_C_A_BRTL_1,DL_C,A,BRTL,1,2.5hz,8,CV,,8,,,,
DL_C_A_BRTL_3,DL_C,A,BRTL,3,2.5hz,8,CV,,8,,,,
DL_C_F_BRTL_6,DL_C,F,BRTL,6,2.5hz,8,CV,,8,45.1684083856345,1.151221822603412,,
DL_C_F_BRTL_4,DL_C,F,BRTL,4,2.5hz,8,CV,,8,44.164135037543765,0.6499898547890188,,
DL_C_F_BRTL_3,DL_C,F,BRTL,3,2.5hz,8,CV,,8,,,,
DL_C_F_TLBR_1,DL_C,F,TLBR,1,2.5hz,8,CV,,8,,,,
